adress,price,property type,type of sale, number of rooms, garden, surface area of the plot of land, living area, furnished, terrace, fully equiped kitchen, swimmingpool, states of building, open fire
"ClosduRenard8,5377SommeLeuze,BE",169000€,Maison,normal sale,2,Yes/ 7.25ares,7.25 ares,54 m²,Yes,Yes,No,No,old property,No informations
"RuedesGonceries103,6032MontSurMarchienne,BE",169000€,Maison,normal sale,3,No,3 ares,138 m²,No,No,No,No,old property,No informations
Ask to get the adress,169000€,Maison,normal sale,3,No,0.68 are,142 m²,No,No,No,No,old property,No informations
Ask to get the adress,169000€,Maison,normal sale,3,No,0.68 are,142 m²,No,No,No,No,old property,No informations
"Boudewijnlaan24,1000Bruxelles,BE",169000€,Maison,normal sale,3,No,No information,,No,Yes,Yes,No,old property,No informations
"RueCharlesMartel24,4040Herstal,BE",170000€,Maison,normal sale,3,Yes/ 1.22are,2.16 ares,125 m²,No,Yes,No,No,old property,No informations
"EmileJacqmainlaan137,1000Bruxelles,BE",174000€,Maison,normal sale,1,No,No information,,No,No,Yes,No,old property,No informations
"EmileJacqmainlaan137,1000Bruxelles,BE",174000€,Maison,normal sale,1,No,No information,,No,No,No,No,old property,No informations
"RuedelaHouillère64,4400FlemalleGrande,BE",175000€,Maison,normal sale,2,Yes/ 1.5are,2.11 ares,115 m²,No,Yes,No,No,old property,No informations
"Sint-Cornelisstraat10,9600Renaix,BE",175000€,Maison,normal sale,3,No,0.7 are,120 m²,No,Yes,Yes,No,New,No informations
"Hulstplein34,8700Tielt,BE",177000€,Maison,normal sale,1,No,0.8 are,65 m²,No,Yes,No,No,New,No informations
"Kruidtuinlaan3-4,1000Bruxelles,BE",178000€,Maison,normal sale,1,No,No information,,No,No,Yes,No,old property,No informations
"Kruidtuinlaan3-4,1000Bruxelles,BE",178000€,Maison,normal sale,1,No,No information,,No,No,Yes,No,old property,No informations
"Raversijdestraat50b,8400Ostende,BE",179000€,Maison,normal sale,1,No,No information,,No,No,No,No,old property,No informations
Ask to get the adress,179000€,Maison,normal sale,3,No,No information,110 m²,No,No,No,No,old property,No informations
"Fruithoflaan114,2600Berchem,BE",179000€,Maison,normal sale,1,No,No information,63 m²,No,Yes,No,No,old property,No informations
"VanAerdtstraat28,2060Anvers,BE",179000€,Maison,normal sale,1,No,No information,70 m²,No,No,No,No,old property,No informations
"Sint-Franciscusstraat56,8400Ostende,BE",180000€,Maison,normal sale,3,No,No information,,No,No,No,No,old property,No informations
"Lalouxlaan2,8670Coxyde,BE",180000€,Maison,normal sale,2,No,3.5 ares,65 m²,No,No,No,No,New,No informations
"BoulevardGénéralWahis32,1030Schaerbeek,BE",180000€,Maison,normal sale,1,No,22.47 ares,60 m²,No,Yes,No,No,New,No informations
"FransdeVriendtstraat34,2600Berchem,BE",180000€,Maison,normal sale,3,No,No information,102 m²,No,Yes,No,No,old property,No informations
"KoninginElisabethlaan1A,9820Merelbeke,BE",180000€,Maison,normal sale,1,No,No information,,No,Yes,Yes,No,old property,No informations
"Potvlietlaan10,2600Berchem,BE",180000€,Maison,normal sale,2,No,No information,85 m²,No,Yes,No,No,old property,No informations
"Ruedesviaducs,7020Nimy,BE",181000€,Maison,normal sale,2,No,No information,84 m²,No,Yes,No,No,New,No informations
"Ruedesviaducs,7020Nimy,BE",181000€,Maison,normal sale,2,No,No information,81 m²,No,Yes,No,No,New,No informations
"Ruedesviaducs,7020Nimy,BE",181000€,Maison,normal sale,2,No,No information,83 m²,No,Yes,No,No,New,No informations
"Ruedesviaducs,7020Nimy,BE",183500€,Maison,normal sale,2,No,No information,83 m²,No,Yes,No,No,New,No informations
"Ruedesviaducs,7020Nimy,BE",183500€,Maison,normal sale,2,No,No information,86 m²,No,Yes,No,No,New,No informations
"Lichterveldestraat53,8820Torhout,BE",185000€,Maison,normal sale,2,No,No information,70 m²,No,Yes,No,No,old property,No informations
"Kortrijkstraat20,2140Borgerhout,BE",185000€,Maison,normal sale,1,No,No information,75 m²,No,No,No,No,old property,No informations
"Brusselsesteenweg40,1500Hal,BE",185000€,Maison,normal sale,2,No,1.66 are,130 m²,No,Yes,No,No,old property,No informations
