locality,home_type,subtype,price,type_of_sale,room,area,equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_land_area,facades,swimming_pool,state_of building
,Appartement,,185000,,,,,,,,,,,,,0,
 Brusselsesteenweg 40,Duplex,,185000,,,,,0,,,,,, 1.66 are,,0,
 Elisalaan 12,Rez-de-chaussée,,185000,,1,,,0,,,,,, 0.42 are,,0,
 Rue des viaducs,Appartement,,185300,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,186000,,,,,0,,,,,,,,0,
 Rue du Bornoville 62,Maison,,189000,,,,,0,,,,,, 2.2 ares,,0,
 Koningin Astridlaan 14,Appartement,,189000,,,,,0,,,,,,,,0,
 Rue des Campagnes 36,Maison,,189000,,,,,0,,,,,,,,0,
 Buizemontstraat 127,Maison,,189000,,,,,0,,,,,, 1.7 are,,0,
 Vuldersstraat 48,Maison,,189000,,,,,0,,,,,, 1.91 are,,0,
 Rue des viaducs,Appartement,,190000,,,,,0,,,,,,,,0,
 Maalse Steenweg 164,Appartement,,190000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,190500,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,191000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,191000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,191000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,192200,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,192300,,,,,0,,,,,,,,0,
 Route de Gosselies 25,Appartement,,194000,,,,,0,,,,,,,,0,
 Route de Gosselies 25,Appartement,,194000,,,,,0,,,,,,,,0,
 Route de Gosselies 25,Appartement,,194000,,,,,0,,,,,,,,0,
 Priestersstraat 2,Appartement,,195000,,,,,0,,,,,, 0.75 are,,0,
 Dageraadsstraat 17,Appartement,,195000,,,,,0,,,,,,,,0,
 Rue du Noir Chien 6,Maison,,195000,,,,,0,,,,,,,,0,
,Maison,,195000,,,,,,,,,,, 6.8 ares,,0,
 Diksmuidelaan 2A,Appartement,,195000,,1,,,0,,,,,,,,0,
 Dreef 9,Immeuble,,195000,,,,,0,,,,,, 4.24 ares,,0,
 Barchonstraat 10,Appartement,,195000,,1,,,0,,,,,,,,0,
 Albert I Laan  45,Appartement,,195000,,,,,0,,,,,, 2.94 ares,,0,
 Albert I Laan 90,Appartement,,195000,,,,,0,,,,,, 0.78 are,,0,
 Weverijstraat 120,Maison,,195000,,,,,0,,,,,, 1.5 are,,0,
 Bassevillestraat 195,Maison,,195500,,,,,0,,,,,, 1.1 are,,0,
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0,
 Steenbakkersstraat 15,Maison,,198000,,,,,0,,,,,, 7.69 ares,,0,
 Artoisstraat 6,Appartement,,198000,,,,,0,,,,,,,,0,
 Rue Jean Baptiste Faux 27,Maison,,199000,,,,,0,,,,,, 6.11 ares,,0,
 Bosstraat 124,Maison,,200000,,,,,0,,,,,, 5.53 ares,,0,
,Duplex,,200000,,,,,,,,,,, 1.3 are,,0,
 Vissenakenstraat 45,Maison,,209000,,,,,0,,,,,, 2.34 ares,,0,
,Appartement,,209800,,,,,,,,,,,,,0,
 Weststraat 126,Duplex,,210000,,,,,,,,,,,,,0,
 Perronstraat 7,Appartement,,210000,,1,,,0,,,,,,,,0,
 Brusselsesteenweg 40,Appartement,,210000,,,,,0,,,,,, 1.66 are,,0,
,Appartement,,212300,,,,,,,,,,,,,0,
 Opgeëistenstraat 135,Maison,,215000,,,,,0,,,,,, 0.83 are,,0,
 Opgeëistenstraat 135,Maison,,215000,,,,,0,,,,,, 0.83 are,,0,
 Wiekevorstse Steenweg 10,Maison,,215000,,,,,0,,,,,,,,0,
,Appartement,,215000,,,,,0,,,,,,,,0,
,Appartement,,215000,,,,,,,,,,, 1.49 are,,0,
 Rue Joseph Halkin 32,Maison,,215000,,,,,0,,,,,, 2.56 ares,,0,
 Helihavenlaan 48,Appartement,,215000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,217500,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,218500,,1,,,0,,,,,,,,0,
 Vlierzeledorp 5,Duplex,,220000,,,,,0,,,,,,,,0,
 Louis Mettewielaan 62,Appartement,,220000,,,,,0,,,,,,,,0,
 Runkstersteenweg 293,Maison,,223000,,,,,0,,,,,,,,0,
 Route de Forrières,Maison,,225000,,,,,0,,,,,,,,0,
 Rue Henri Evenepoel 109,Appartement,,225000,,1,,,0,,,,,,,,0,
,Maison,,225000,,,,,,,,,,, 10 ares,,0,
 Rue Fernand Lacroix,Maison,,225000,,,,,0,,,,,, 4.1 ares,,0,
 Lombardsijdelaan 171,Maison,,225000,,,,,0,,,,,, 2.45 ares,,0,
 Lombardsijdelaan 171,Maison,,225000,,,,,0,,,,,, 2.45 ares,,0,
,Maison,,227500,,,,,0,,,,,,,,0,
 Zeelandstraat 87,Appartement,,227500,,,,,0,,,,,, 1.21 are,,0,
 Van Geertstraat 29,Rez-de-chaussée,,229000,,1,,,0,,,,1, 0.5 are,,,0,
 Bulskampstraat 66,Maison,,229000,,,,,0,,,,,, 1.76 are,,0,
 Doornikseweg 16,Maison,,229500,,,,,0,,,,,, 6.51 ares,,0,
 Rue Fernand Lacroix,Maison,,229500,,,,,0,,,,,, 4.3 ares,,0,
 Avenue de Septembre 8A,Appartement,,230000,,1,,,0,,,,,,,,0,
 Heinsberg 15,Maison,,230000,,,,,0,,,,,, 3.23 ares,,0,
 Heinsberg 15,Maison,,230000,,,,,0,,,,,, 3.23 ares,,0,
 Hector Denisstraat 24,Maison,,235000,,,,,0,,,,,, 1.7 are,,0,
 Hector Denisstraat 24,Maison,,235000,,,,,0,,,,,, 1.7 are,,0,
 Mechelbaan 476,Appartement,,235000,,,,,0,,,,,,,,0,
 Vaartstraat 49,Appartement,,235000,,,,,0,,,,,,,,0,
 Rue Fernand Lacroix,Maison,,235000,,,,,0,,,,,, 4.65 ares,,0,
 Steenbakkerstraat 27,Maison,,237000,,,,,0,,,,1, 6 ares, 7.8 ares,,0,
 Steenbakkerstraat 27,Maison,,237000,,,,,0,,,,1, 6 ares, 7.8 ares,,0,
 rotterdamstraat 57,Maison,,239000,,,,,0,,,,,, 0.45 are,,0,
 Rue de la Station d'Acren 75,Maison,,239000,,,,,0,,,,,, 5.37 ares,,0,
 Jozef Cuyversstraat 7,Maison,,239000,,,,,0,,,,1, 0.3 are, 0.94 are,,0,
 Koning Albert II-laan 49,Appartement,,239000,,1,,,0,,,,,,,,0,
 Philippe Spethstraat 94,Maison,,239000,,,,,0,,,,1, 2.03 ares,,,0,
 Rue des Jardins 52,Maison,,239500,,,,,0,,,,,, 0.95 are,,0,
 Rue Fernand Lacroix,Maison,,239500,,,,,0,,,,,, 5.25 ares,,0,
,Maison,,240000,,,,,,,,,,, 7.55 ares,,0,
 Rue du Vieux-Marché 68/03,Appartement,,243500,,,,,0,,,,,,,,0,
 Beukenlaan 4,Maison,,245000,,,,,0,,,,,,,,0,
 Izegemsestraat 12,Appartement,,245000,,,,,0,,,,,,,,0,
 Molenstraat 1,Appartement,,245000,,,,,0,,,,,,,,0,
,Maison,,245000,,,,,,,,,,,,,0,
 Blauwesteen 97,Maison,,245000,,,,,0,,,,,, 1.2 are,,0,
 Kelderstraat  9,Appartement,,245000,,1,,,0,,,,,,,,0,
 Emile Jacqmainlaan 142,Appartement,,245000,,1,,,0,,,,,,,,0,
,Appartement,,247000,,,,,0,,,,,,,,0,
,Appartement,,247000,,,,,0,,,,,,,,0,
 Picardstraat 11,Appartement,,247000,,1,,,0,,,,,,,,0,
,Appartement,,249000,,,,,0,,,,,,,,0,
 Elisabethlaan 318,Appartement,,249000,,,,,0,,,,,,,,0,
 Rue du Delta 145,Maison,,249000,,,,,0,,,,1, 18 ares, 19.37 ares,,0,
 Frankrijklei 160,Appartement,,249500,,,,,0,,,,,,,,0,
 Karel Lodewijk Ledeganckstraat 40,Maison,,249500,,,,,0,,,,,, 1.5 are,,0,
 Karel Lodewijk Ledeganckstraat 40,Maison,,249500,,,,,0,,,,,, 1.5 are,,0,
 Rue de Leumont 42,Maison,,249500,,,,,0,,,,1, 14.57 ares, 15.82 ares,,0,
 Koning Leopold III Plein 15,Appartement,,250000,,,,,0,,,,,,,,0,
 Hilarius Bertolfstraat 93,Maison,,250000,,,,,0,,,,,, 0.8 are,,0,
 Sint-Lievenslaan 116,Immeuble,,250000,,,,,0,,,,,,,,0,
 Vrijheidsstraat 102,Maison,,255000,,,,,0,,,,,,,,0,
 Schijfstraat 39,Maison,,255000,,,,,0,,,,1, 1.5 are, 2.6 ares,,0,
 Hoogmolenwegel 3,Maison,,258000,,,,,0,,,,,, 6.4 ares,,0,
 Spinstersstraat 39,Maison,,258000,,,,,0,,,,,, 0.5 are,,0,
 Molenstraat 2,Maison,,258000,,,,,0,,,,,, 2.76 ares,,0,
 Rue du Hangar,Maison,,258300,,,,,0,,,,,, 1.98 are,,0,
 Tangehoefstraat 16,Maison,,259000,,,,,0,,,,,,,,0,
 Kapelsestraat 304,Maison,,259000,,,,,0,,,,1, 2.21 ares, 3.67 ares,,0,
 Dolfijnstraat 39,Maison,,259000,,,,,0,,,,,, 1.91 are,,0,
 Rue Criquelions 38,Maison,,260000,,,,,0,,,,1, 13.99 ares, 15.92 ares,,0,
 Essex Scottishlaan 83,Appartement,,260000,,,,,0,,,,,,,,0,
 Ernest Solvaystraat 75-77,Maison,,260000,,,,,0,,,,,, 3.36 ares,,0,
 Volkaardstraat 12,Maison,,260000,,,,,0,,,,,, 2.27 ares,,0,
 Volkaardstraat 12,Maison,,260000,,,,,0,,,,,, 2.27 ares,,0,
 Kerkplein 3,Maison,,263000,,,,,0,,,,,, 3.11 ares,,0,
,Maison,,265000,,,,,,,,,,, 14.17 ares,,0,
 Waregemstraat 524,Maison,,265000,,,,,0,,,,,, 4.56 ares,,0,
 Bloemistenstraat 4,Maison,,265000,,,,,0,,,,,, 3.59 ares,,0,
 Friulilaan 3,Appartement,,265000,,1,,,0,,,,,,,,0,
 Route de Gosselies 25,Appartement,,269000,,,,,0,,,,,,,,0,
 Karel Janssenslaan 41,Appartement,,269000,,,,,0,,,,,,,,0,
 stationplein 25,Appartement,,269000,,,,,0,,,,,,,,0,
 Aisne 40,Maison,,270000,,,,,0,,,,,,,,0,
 Rue du Hangar,Maison,,271100,,,,,0,,,,,, 1.8 are,,0,
 Rue du Hangar,Maison,,272600,,,,,0,,,,,, 3.96 ares,,0,
 Rue Antoine Nélis,Maison,,273400,,,,,0,,,,,, 3.23 ares,,0,
 Rue du Hangar,Maison,,274800,,,,,0,,,,,, 2.93 ares,,0,
 Rue Antoine Nélis,Maison,,275000,,,,,0,,,,,, 3.57 ares,,0,
 Zultseweg 62,Appartement,,275000,,,,,0,,,,,,,,0,
,Maison,,275000,,,,,0,,,,,, 4.21 ares,,0,
 Rue Val de Mehaigne 2,Appartement,,275000,,,,,0,,,,,,,,0,
 Leopoldlaan 89,Appartement,,275000,,,,,0,,,,,,,,0,
 Rue Saint-Nicolas 221,Maison,,275000,,,,,0,,,,1, 0.96 are, 1.8 are,,0,
 Albert I laan 75b,Appartement,,275000,,,,,0,,,,,, 0.63 are,,0,
 Stokstraat 9 - 11,Maison,,275000,,,,,0,,,,,, 5.95 ares,,0,
 Albrecht Rodenbachstraat 28,Maison,,276000,,,,,0,,,,,, 1.98 are,,0,
 Rue du Hangar,Maison,,276800,,,,,0,,,,,, 3.69 ares,,0,
 Rue des Tulipes,Maison,,277000,,,,,0,,,,,, 5.57 ares,,0,
 Zeedijk-Heist 166,Appartement,,279000,,1,,,0,,,,,, 0.47 are,,0,
 Leopold Decouxlaan 18,Immeuble,,279000,,,,,0,,,,,, 1.7 are,,0,
 Lotissement du Bois des Rois 123,Maison,,280000,,,,,0,,,,1, 15 ares, 25.23 ares,,0,
 Boomlaarstraat 182,Maison,,280000,,,,,0,,,,,,,,0,
,Appartement,,280000,,,,,,,,,,,,,0,
 Rue du Hangar,Maison,,281600,,,,,0,,,,,, 1.98 are,,0,
 Steenweg 90,Duplex,,282000,,,,,0,,,,,,,,0,
 Rue du Hangar,Maison,,282700,,,,,0,,,,,, 1.89 are,,0,
 Rue de Vinalmont,Maison,,284000,,,,,0,,,,1, 7.07 ares, 7.93 ares,,0,
 Rue du Hangar,Maison,,284900,,,,,0,,,,,, 1.98 are,,0,
,Appartement,,285000,,,,,0,,,,,,,,0,
 Kapel ter Rustestraat 28,Duplex,,285000,,,,,0,,,,,,,,0,
,Immeuble,,285000,,,,,,,,,,,,,0,
 Rue de Villemont,Maison,,287500,,,,,0,,,,,, 5.16 ares,,0,
 Rue de Villemont,Maison,,288800,,,,,0,,,,,, 5.36 ares,,0,
,Appartement,,289000,,,,,0,,,,,,,,0,
,Appartement,,289500,,1,,,0,,,,,,,,0,
 De Bruynlaan 104,Appartement,,290000,,,,,0,,,,,, 1.21 are,,0,
 Rue du Stade Lot 57,Maison,,290100,,,,,0,,,,,, 8.5 ares,,0,
 Rue Antoine Nélis,Maison,,292200,,,,,0,,,,,, 3.29 ares,,0,
 Rue de Villemont,Maison,,292700,,,,,0,,,,,, 6.7 ares,,0,
,Appartement,,294100,,,,,0,,,,,,,,0,
 Coquilhatstraat 49A,Rez-de-chaussée,,295000,,1,,,0,,,,,,,,0,
 Kaplotestraat 56,Maison,,295000,,,,,0,,,,,, 4.5 ares,,0,
,Maison,,295000,,,,,,,,,,, 1.84 are,,0,
,Maison,,295000,,,,,,,,,,, 2.4 ares,,0,
 Galerie du Commerce 6,Appartement,,295000,,,,,0,,,,,,,,0,
 Veldstraat 23,Maison,,295000,,,,,0,,,,1, 0.8 are, 2.3 ares,,0,
 Rue de la Botte d'asperges,Maison,,295100,,,,,0,,,,,, 4.16 ares,,0,
 Rue de Tournai 12,Loft,,295345,,,,,0,,,,,,,,0,
 Rue Antoine Nélis,Maison,,296900,,,,,0,,,,,, 4.14 ares,,0,
 Rue Théophile Jacquemin Lot 11,Villa,,296900,,,,,0,,,,,, 7.07 ares,,0,
 Rue de la Botte d'asperges,Maison,,298500,,,,,0,,,,,, 4.68 ares,,0,
 Heibergstraat 45,Maison,,299000,,,,,0,,,,,,,,0,
,Appartement,,300000,,,,,0,,,,,,,,0,
 Picardstraat 11,Appartement,,303000,,,,,0,,,,,,,,0,
 Rue Antoine Nélis,Maison,,303500,,,,,0,,,,,, 5.54 ares,,0,
 Rue de la Botte d'asperges,Maison,,304100,,,,,0,,,,,, 4.15 ares,,0,
 Rue de la Botte d'asperges,Maison,,304200,,,,,0,,,,,, 5.16 ares,,0,
 Rue Antoine Nélis,Maison,,304200,,,,,0,,,,,, 4.1 ares,,0,
 Rue de la Botte d'asperges,Maison,,304300,,,,,0,,,,,, 4.16 ares,,0,
 Rue de la Botte d'asperges,Maison,,304500,,,,,0,,,,,, 5.59 ares,,0,
 Rue de la Botte d'asperges,Maison,,305200,,,,,0,,,,,, 3.85 ares,,0,
 Rue de la Botte d'asperges,Maison,,305200,,,,,0,,,,,, 4.35 ares,,0,
 Rue de Villemont,Maison,,305600,,,,,0,,,,,, 4.08 ares,,0,
 Rue de Villemont,Maison,,306500,,,,,0,,,,,, 6.03 ares,,0,
 Rue de la Botte d'asperges,Maison,,307300,,,,,0,,,,,, 3.85 ares,,0,
 Rue Théophile Jacquemin Lot 20,Villa,,307900,,,,,0,,,,,, 9.62 ares,,0,
 Kerkstraat 76,Penthouse,,309000,,,,,0,,,,,, 7.29 ares,,0,
 Onderwijsstraat 8,Maison,,309000,,,,,0,,,,,,,,0,
 Fond des Fawes 1,Maison,,309000,,,,,0,,,,,, 7 ares,,0,
 Rue de la Botte d'asperges,Maison,,309500,,,,,0,,,,,, 4.67 ares,,0,
 Pervijzestraat 56,Maison,,310000,,,,,0,,,,,,,,0,
 Rue Jean Vinois 4,Maison,,310000,,,,,0,,,,,, 1.6 are,,0,
 Rue de la Botte d'asperges,Maison,,310300,,,,,0,,,,,, 3.85 ares,,0,
 Rue de la Botte d'asperges,Maison,,312600,,,,,0,,,,,, 3.85 ares,,0,
 Rue de la Botte d'asperges,Maison,,314300,,,,,0,,,,,, 5.18 ares,,0,
 Rue de la Botte d'asperges,Maison,,314500,,,,,0,,,,,, 4.69 ares,,0,
 Rue de la Botte d'asperges,Maison,,314700,,,,,0,,,,,, 4.65 ares,,0,
 Rue de la Botte d'asperges,Maison,,314800,,,,,0,,,,,, 4.65 ares,,0,
 Rooigemlaan 367,Maison,,315000,,,,,0,,,,,, 1.05 are,,0,
 Rue Antoine Nélis,Maison,,315900,,,,,0,,,,,, 4.7 ares,,0,
 Dalakkerstraat 9,Maison,,318000,,,,,0,,,,,, 6.01 ares,,0,
 Edw. Schelfhoutstraat 167,Maison,,319000,,,,,0,,,,,,,,0,
 Ives-Sabin Maghermanlaan 50,Maison,,319000,,,,,0,,,,,, 6.9 ares,,0,
 Rue de la Botte d'asperges,Maison,,319200,,,,,0,,,,,, 4.5 ares,,0,
 Rue de la Botte d'asperges,Maison,,319500,,,,,0,,,,,, 4.63 ares,,0,
 Rue de la Tannerie 24,Villa,,320000,,,,,0,,,,,, 9.2 ares,,0,
 Boomsestraat 154,Maison,,320000,,,,,0,,,,1, 0.43 are, 1 are,,0,
,Maison,,320000,,,,,,,,,,, 9.83 ares,,0,
,Appartement,,320000,,,,,0,,,,,,,,0,
 Langergasse 4,Maison,,320000,,,,,0,,,,,, 7.67 ares,,0,
 Rue du Hangar,Maison,,322300,,,,,0,,,,,, 4.6 ares,,0,
 Rue Antoine Nélis,Maison,,322400,,,,,0,,,,,, 5.96 ares,,0,
 Rue Antoine Nélis,Maison,,324100,,,,,0,,,,,, 5.13 ares,,0,
 Rue Antoine Nélis,Maison,,324400,,,,,0,,,,,, 5.14 ares,,0,
 Brieversweg 426,Maison,,325000,,,,,0,,,,,,,,0,
 Rue de la Crête Lot 35,Villa,,326700,,,,,0,,,,,, 9.92 ares,,0,
 Rue Antoine Nélis,Maison,,326900,,,,,0,,,,,, 4.15 ares,,0,
 Henegouwenstraat 4 Permeke,Appartement,,327000,,,,,0,,,,,, 0.6 are,,0,
 Rue Sainte-Catherine,Appartement,,327000,,,,,0,,,,,,,,0,
 Rue Cléchêne - Rue des Biolettes,Maison,,329900,,,,,0,,,,1, 12.18 ares, 12.94 ares,,0,
 rue de caumont 8,Maison,,330000,,,,,0,,,,,, 97 ares,,0,
 rue de caumont 8,Ferme,,330000,,,,,0,,,,,, 97 ares,,0,
 Rue du Marché aux Poulets 49,Appartement,,330000,,1,,,0,,,,,, 1.3 are,,0,
 Rue du Hangar,Maison,,331200,,,,,0,,,,,, 3.58 ares,,0,
 Rue Grandrieu 30,Maison,,335000,,,,,0,,,,,, 28.5 ares,,0,
 Rue du Roi Chevalier  4.2,Appartement,,335000,,,,,0,,,,,,,,0,
 Ketsersstraat 6,Appartement,,338000,,,,,0,,,,,, 1.26 are,,0,
 Ketsersstraat 6,Appartement,,338000,,,,,0,,,,,, 1.26 are,,0,
 Rue de la Crête,Villa,,338300,,,,,0,,,,,, 7.73 ares,,0,
,Maison,,340000,,,,,,,,,,, 24 ares,,0,
,Maison,,340408,,,,,,,,,,, 6.97 ares,,0,
 Rue Antoine Nélis,Maison,,345300,,,,,0,,,,,, 5.26 ares,,0,
,Maison,,350000,,,,,0,,,,,,,,0,
 Brialmontlei 68,Appartement,,350000,,1,,,0,,,,,, 4.6 ares,,0,
 Avenue de la reine 271,Appartement,,350000,,,,,0,,,,,,,,0,
 Avenue de la reine 271,Appartement,,350000,,,,,0,,,,,,,,0,
 Rue Antoine Nélis,Maison,,351100,,,,,0,,,,,, 5.7 ares,,0,
 Rue Antoine Nélis,Maison,,354600,,,,,0,,,,,, 5.82 ares,,0,
 Rue de la Botte d'asperges,Villa,,355400,,,,,0,,,,,, 5.38 ares,,0,
 Rue Antoine Nélis,Maison,,355500,,,,,0,,,,,, 5.46 ares,,0,
 Charles de Kerchovelaan 377,Appartement,,358000,,,,,0,,,,,, 4.25 ares,,0,
 Kempstraat 115,Maison,,359000,,,,,0,,,,,, 0.72 are,,0,
 Koning Albertstraat 24,Appartement,,359000,,,,,0,,,,,,,,0,
 Waterloos 14,Maison,,359000,,,,,0,,,,,, 10.68 ares,,0,
 Noordstraat 18,Maison,,360000,,,,,0,,,,,,,,0,
 Veldstraat 30,Maison,,360000,,,,,0,,,,1, 1.46 are, 3.41 ares,,0,
 Rue de la Botte d'asperges,Villa,,360100,,,,,0,,,,,, 6.48 ares,,0,
 Rue de la Botte d'asperges,Villa,,360400,,,,,0,,,,,, 6.71 ares,,0,
 Dijlestraat 52,Loft,,360500,,,,,0,,,,,, 7.8 ares,,0,
 Rue Cléchêne - Rue des Biolettes,Maison,,362500,,,,,0,,,,,, 6.16 ares,,0,
,Appartement,,362500,,,,,0,,,,,,,,0,
,Maison,,365000,,,,,0,,,,,,,,0,
